Sample,F1,F2,F3,Ax,Ay,Az
471,1.0,2.0,3.0,0.61,-0.55,-0.79
472,1.0,2.0,3.0,0.62,-0.55,-0.8
473,1.0,2.0,3.0,0.65,-0.56,-0.76
474,1.0,2.0,3.0,0.65,-0.57,-0.77
475,1.0,2.0,3.0,0.64,-0.56,-0.82
476,1.0,2.0,3.0,0.66,-0.57,-0.78
477,1.0,2.0,3.0,0.65,-0.56,-0.77
478,1.0,2.0,3.0,0.65,-0.56,-0.79
479,1.0,2.0,3.0,0.66,-0.55,-0.76
480,1.0,2.0,3.0,0.66,-0.55,-0.8
481,1.0,2.0,3.0,0.65,-0.56,-0.77
482,1.0,2.0,3.0,0.65,-0.55,-0.78
483,1.0,2.0,3.0,0.66,-0.56,-0.78
484,1.0,2.0,3.0,0.65,-0.56,-0.76
485,1.0,2.0,3.0,0.65,-0.56,-0.79
486,1.0,2.0,3.0,0.65,-0.56,-0.77
487,1.0,2.0,3.0,0.63,-0.57,-0.77
